"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"2298",639.548369774729,1069.73,3385,255.231338500977,140
"2299",639.548369774729,1069.73,3385,281.246795654297,995
"2300",723.587870746785,1071,9308,255.23127746582,186
"2301",723.587870746785,1071,9308,283.264038085938,1172
"2302",723.587870746785,1071,9308,303.225280761719,256
"2303",723.587870746785,1071,9308,304.234649658203,349
"2304",723.587870746785,1071,9308,305.245697021484,280
"2305",723.587870746785,1071,9308,437.284576416016,140
"2306",723.587870746785,1071,9308,723.518127441406,257
"2307",723.587870746785,1071,9308,723.597900390625,1827
"2308",375.307397625166,1071,5077,283.264038085938,1413
"2309",402.018751715349,1056.96,3385,283.264373779297,303
"2310",402.018751715349,1056.96,3385,284.268585205078,838
"2311",402.289737866286,1069.73,27335,283.264495849609,241
"2312",402.289737866286,1069.73,27335,284.263916015625,1074
"2313",487.395616375999,1071,6769,129.053451538086,163
"2314",487.395616375999,1071,6769,129.090362548828,1241
"2315",502.414766008416,1056.96,11846,143.106582641602,1879
"2316",502.414766008416,1056.96,11846,144.112121582031,580
"2317",535.395825751812,1069.73,5077,133.101409912109,116
