"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7551",863.553501233941,863.53125,863.585611979167,1019.01,1010.15,1032.78,32716.0926086956,32127.5612374582,3731,42,1
"CP7552",864.568431778325,864.546691894531,864.584808349609,1120.38,1112.51,1126.29,18164.9928571428,18053.6928571428,2244,171,1
"CP7553",864.547310866031,864.509948730469,864.576782226562,1092.82,1082,1099.71,25798.5505555556,25645.2606666667,1965,125,1
"CP7554",864.609541306249,864.594589233398,864.634155273438,1065.26,1059.35,1071.17,1156332.87000002,1152100.81750002,369724,1223,1
"CP7555",864.599515789792,864.557861328125,864.622802734375,1041.64,1035.74,1046.56,160035.669090908,156134.567272726,49376,162,1
"CP7556",864.588399699572,864.531768798828,864.636922200521,1150.9,1133.18,1168.62,46148.7866666664,45893.8155555553,3244,224,1
"CP7557",873.608612073825,873.589691162109,873.655110677083,1026.88,970.77,1058.37,218646.647191011,192124.516853932,15011,48,1
"CP7558",873.624788473569,873.616638183594,873.633239746094,1101.68,1082,1120.38,161397.741025641,160925.371794872,6279,658,1
"CP7559",873.634079026655,873.607584635417,873.662399291992,1075.11,1071.17,1080.03,21840.8844444442,21722.7511111109,3731,391,1
"CP7560",873.629156180488,873.610493977865,873.663635253906,1067.23,1063.29,1071.17,18870.6300000003,18783.0028846156,3054,320,1
"CP7561",873.641120469034,873.617350260417,873.661071777344,1126.29,1121.37,1131.21,23082.6720000003,22983.1744615388,3053,320,1
"CP7562",876.567261302132,876.531921386719,876.590657552083,1119.4,1112.51,1125.3,21243.2061538461,21204.6393846153,2036,415,1
"CP7563",876.562289128473,876.527282714844,876.600646972656,1089.87,1082,1099.71,19037.2661111112,18984.9232222223,1509,278,1
"CP7564",876.563101671562,876.551681518555,876.578582763672,1108.57,1099.71,1112.51,16619.323076923,16580.7261538461,1644,335,1
"CP7565",876.563332271647,876.53125,876.585952758789,1148.93,1132.2,1172.56,41844.4604878048,41759.7044878048,3036,642,1
"CP7566",876.582287980643,876.539672851562,876.602661132812,1128.26,1125.3,1132.2,12311.5714285716,12295.0114285716,2707,573,1
"CP7567",876.620716210509,876.59880065918,876.637466430664,1065.26,1048.53,1071.17,127879.579130435,123240.938434783,9162,39,1
"CP7568",876.622023841169,876.60244140625,876.645309448242,1151.88,1144.01,1159.76,21472.171875,21425.315625,2383,486,1
"CP7569",876.639183791508,876.6083984375,876.680212402344,1109.55,1093.81,1119.4,33812.263846154,33514.6324615386,1781,133,1
"CP7570",883.571038290573,883.524826049805,883.592346191406,1102.66,1084.95,1134.17,56591.1872,56395.39004,2024,257,1
"CP7571",883.583260258568,883.557678222656,883.595540364583,1149.92,1142.04,1160.75,21707.5389473685,21585.4315789474,2621,365,1
"CP7572",883.573052923493,883.540771484375,883.588419596354,1040.66,1024.91,1046.56,77261.9613636359,77121.6299999995,31299,567,1
"CP7573",883.577097954309,883.546539306641,883.597432454427,1058.37,1046.56,1064.28,17066.3288888889,16950.3613333334,2035,212,1
"CP7574",883.551753014042,883.523559570312,883.575286865234,1019.01,1013.1,1024.91,750798.11416667,750727.746250004,196883,29662,1
"CP7575",883.572966669558,883.548461914062,883.594528198242,1075.11,1064.28,1081.01,20212.7923529412,20143.7072941177,1695,248,1
"CP7576",883.613336423956,883.593048095703,883.645812988281,1038.69,1024.91,1045.58,97272.035714285,97048.9965714278,31284,593,1
"CP7577",884.576509852695,884.522705078125,884.600204467773,1119.4,1114.48,1128.26,16646.24,16514.8378571428,1784,198,1
"CP7578",884.585527807685,884.575276692708,884.609268188477,1101.68,1095.78,1106.6,14635.5254545454,14530.473090909,1779,198,1
"CP7579",884.589495822269,884.577987670898,884.605021158854,1089.87,1081.01,1095.78,19655.916,19515.6994666666,1744,166,1
"CP7580",884.58266950307,884.550842285156,884.595987955729,1110.54,1106.6,1114.48,10835.0000000001,10756.1015000001,1643,183,1
"CP7581",884.584005458962,884.562957763672,884.620407104492,1076.09,1071.17,1081.01,16921.8479999999,16825.5143999999,3047,339,1
"CP7582",884.580623361099,884.553894042969,884.604756673177,1060.34,1048.53,1068.21,43485.9120000001,43302.0024000001,4378,488,1
"CP7583",884.587435750975,884.576141357422,884.598068237305,1019.01,1013.1,1024.91,462868.345833336,461497.664111113,129001,600,1
"CP7584",884.610503010106,884.594645182292,884.632873535156,1039.67,1024.91,1044.59,73066.9199999994,72963.5999999994,21031,837,1
"CP7585",884.594738922841,884.531097412109,884.624857584635,1149.92,1131.21,1172.56,25397.7607142857,25237.1318681318,1769,250,1
"CP7586",894.471504163036,894.445251464844,894.481719970703,1148.93,1142.04,1153.85,7148.98666666663,6397.78630952378,1165,6,1
"CP7587",900.567409116929,900.485900878906,900.612772623698,1133.18,1087.9,1178.46,52407.6626086956,52228.6007905138,1785,373,1
"CP7588",902.579047675113,902.5537109375,902.597534179688,1058.37,1055.42,1068.21,24348.2246153845,24300.0161538461,3052,403,1
"CP7589",902.57904570441,902.548126220703,902.600805664062,1076.09,1068.21,1083.97,20588.47,20529.8625,2823,373,1
"CP7590",264.89781291173,264.895599365234,264.900390625,1160.75,1156.81,1168.62,4595.07416666665,4583.26416666664,631,201,1
"CP7591",294.887403263006,294.881927490234,294.901489257812,1162.71,1156.81,1168.62,12983.1266666666,12761.9285585585,2700,67,1
"CP7592",310.870450362288,310.859786987305,310.875091552734,1162.71,1156.81,1168.62,11135.8458333333,11122.2643333333,2273,626,1
"CP7593",328.860761051449,328.858459472656,328.86952718099,1163.7,1156.81,1170.59,4139.90571428571,4068.64697554697,678,28,1
"CP7594",381.365116605369,381.351196289062,381.373260498047,1101.68,1092.82,1114.48,76343.6236363639,75647.818512397,6446,187,1
"CP7595",381.365661979956,381.347808837891,381.375640869141,1147.95,1124.32,1171.57,81389.109375,79948.96875,3723,105,1
"CP7596",381.36117969629,381.350677490234,381.375793457031,1077.08,1072.15,1090.86,14633.1894736841,14058.2822009568,1741,50,1
"CP7597",403.295900774866,403.278823852539,403.304595947266,1070.18,1064.28,1077.08,9497733.90769227,9497704.95999997,2096371,443710,1
"CP7598",403.293415625615,403.276306152344,403.304046630859,1057.39,1051.48,1064.28,3180543.0153846,3180514.0676923,835202,176775,1
"CP7599",403.302674361806,403.298492431641,403.307037353516,1135.15,1130.23,1141.06,25317.5863636362,25292.7758181817,3845,813,1
"CP7600",403.293685018955,403.276138305664,403.307586669922,1034.75,1029.83,1040.66,42903.5372727279,42878.7267272733,5088,1076,1
"CP7601",403.290643245897,403.272054036458,403.304372151693,1007.19,1002.28,1013.1,35697.1472727274,31325.5482555284,6106,16,1
"CP7602",403.305269609127,403.298645019531,403.313079833984,980.616,975.693,986.524,21780.1563636364,18363.0956167076,3728,11,1
"CP7603",403.302459473763,403.282150268555,403.32243347168,1117.43,1080.03,1125.3,166419.408913043,166322.27523913,9726,613,1
"CP7604",403.300456815027,403.284606933594,403.304626464844,1146.96,1141.06,1159.76,26541.205263158,26499.8684210527,2631,556,1
"CP7605",699.494364862379,699.460144042969,699.522644042969,1110.54,1088.88,1136.13,85103.15625,85054.921875,2787,1151,1
"CP7606",699.494779115529,699.449869791667,699.532928466797,1150.9,1144.01,1161.73,48859.9466666667,48184.8862626263,5425,55,1
