,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
6,392,130.711071335543,344.45099999999996,4183,54.88929861691985,183.0
7,392,130.711071335543,344.45099999999996,4183,55.056642111930195,12092.0
8,392,130.711071335543,344.45099999999996,4183,56.05865843631915,362.0
9,392,130.711071335543,344.45099999999996,4183,60.046631924113484,6585.0
10,392,130.711071335543,344.45099999999996,4183,61.052082846071606,186.0
11,392,130.711071335543,344.45099999999996,4183,71.85960430122684,553.0
12,392,130.711071335543,344.45099999999996,4183,72.05225626982195,728.0
13,392,130.711071335543,344.45099999999996,4183,72.08219430423206,101773.0
14,392,130.711071335543,344.45099999999996,4183,72.3699158268483,156.0
15,392,130.711071335543,344.45099999999996,4183,72.39751923152194,152.0
16,392,130.711071335543,344.45099999999996,4183,73.04952287232047,593.0
17,392,130.711071335543,344.45099999999996,4183,73.08449105239055,6506.0
18,392,130.711071335543,344.45099999999996,4183,74.05364364592049,163.0
19,392,130.711071335543,344.45099999999996,4183,89.10777899477218,163.0
20,392,130.711071335543,344.45099999999996,4183,113.7355344386803,279.0
21,392,130.711071335543,344.45099999999996,4183,114.09084920593901,16783.0
22,392,130.711071335543,344.45099999999996,4183,115.09503463159254,3136.0
23,392,130.711071335543,344.45099999999996,4183,116.09602018472448,209.0
24,392,130.711071335543,344.45099999999996,4183,131.1183391154224,2653.0
25,392,130.711071335543,344.45099999999996,4183,132.11847816776088,211.0
0,393,512.2096734586239,347.50699999999995,1852,114.09038906061149,496.0
1,393,512.2096734586239,347.50699999999995,1852,131.11786878529495,5916.0
2,393,512.2096734586239,347.50699999999995,1852,132.1228716624749,502.0
3,393,512.2096734586239,347.50699999999995,1852,299.06113272800957,233.0
0,394,512.211577393025,342.413,2392,114.09084920593901,501.0
1,394,512.211577393025,342.413,2392,131.1183391154224,8479.0
2,394,512.211577393025,342.413,2392,132.12172103237762,685.0
3,394,512.211577393025,342.413,2392,281.0501459552611,1464.0
0,395,133.124787163262,342.413,3925,30.041681319000002,238.0
1,395,133.124787163262,342.413,3925,39.025934380710794,538.0
2,395,133.124787163262,342.413,3925,42.89059063558367,188.0
3,395,133.124787163262,342.413,3925,43.022801066146286,14437.0
4,395,133.124787163262,342.413,3925,43.05796812396785,428.0
5,395,133.124787163262,342.413,3925,44.02414027842979,387.0
6,395,133.124787163262,342.413,3925,44.05315998811845,403.0
7,395,133.124787163262,342.413,3925,53.04169881489104,311.0
8,395,133.124787163262,342.413,3925,55.05768880970415,11305.0
9,395,133.124787163262,342.413,3925,56.062883214387355,337.0
10,395,133.124787163262,342.413,3925,60.047725026088365,6687.0
11,395,133.124787163262,342.413,3925,61.04767408290832,163.0
12,395,133.124787163262,342.413,3925,71.8619959114219,647.0
13,395,133.124787163262,342.413,3925,72.04626940914811,2677.0
14,395,133.124787163262,342.413,3925,72.08219430423206,81113.0
15,395,133.124787163262,342.413,3925,72.35791598821348,208.0
16,395,133.124787163262,342.413,3925,72.42152647036805,306.0
17,395,133.124787163262,342.413,3925,72.86156174998825,163.0
18,395,133.124787163262,342.413,3925,73.04831722224934,598.0
19,395,133.124787163262,342.413,3925,73.0869029594488,6752.0
20,395,133.124787163262,342.413,3925,114.09084920593901,18027.0
21,395,133.124787163262,342.413,3925,115.09503463159254,2871.0
22,395,133.124787163262,342.413,3925,116.09754011779278,186.0
23,395,133.124787163262,342.413,3925,131.1167238467938,2664.0
24,395,133.124787163262,342.413,3925,132.12496393679217,256.0
0,396,133.12266883245002,345.47,2161,30.039824599399246,215.0
1,396,133.12266883245002,345.47,2161,39.02647430532443,391.0
2,396,133.12266883245002,345.47,2161,43.0224480380262,13624.0
3,396,133.12266883245002,345.47,2161,43.05854063774143,769.0
4,396,133.12266883245002,345.47,2161,44.02472044578515,363.0
5,396,133.12266883245002,345.47,2161,44.053740384478616,521.0
6,396,133.12266883245002,345.47,2161,53.04337530546558,333.0
7,396,133.12266883245002,345.47,2161,55.05730609326014,11858.0
8,396,133.12266883245002,345.47,2161,56.059329744094235,629.0
9,396,133.12266883245002,345.47,2161,58.066834832374745,456.0
10,396,133.12266883245002,345.47,2161,60.046238885774414,6381.0
11,396,133.12266883245002,345.47,2161,61.04727909170685,261.0
12,396,133.12266883245002,345.47,2161,70.06606625942382,960.0
13,396,133.12266883245002,345.47,2161,71.82451659880873,163.0
14,396,133.12266883245002,345.47,2161,71.8603862179102,760.0
15,396,133.12266883245002,345.47,2161,72.04465789336977,5159.0
16,396,133.12266883245002,345.47,2161,72.08178007242734,71661.0
17,396,133.12266883245002,345.47,2161,72.35150178770394,168.0
18,396,133.12266883245002,345.47,2161,72.3635011101197,157.0
19,396,133.12266883245002,345.47,2161,72.43311680048326,231.0
20,396,133.12266883245002,345.47,2161,73.04910713498815,770.0
21,396,133.12266883245002,345.47,2161,73.0852812078308,7013.0
22,396,133.12266883245002,345.47,2161,74.04958468493611,163.0
23,396,133.12266883245002,345.47,2161,74.09086240321493,163.0
24,396,133.12266883245002,345.47,2161,77.03859657477425,326.0
25,396,133.12266883245002,345.47,2161,89.10867339207276,186.0
26,396,133.12266883245002,345.47,2161,113.73808335956595,209.0
27,396,133.12266883245002,345.47,2161,114.09038906061149,17289.0
28,396,133.12266883245002,345.47,2161,115.09306042161641,2569.0
29,396,133.12266883245002,345.47,2161,116.0925188034206,209.0
30,396,133.12266883245002,345.47,2161,131.11786878529495,2206.0
31,396,133.12266883245002,345.47,2161,132.1228716624749,326.0
0,397,153.099084666613,348.526,2301,72.08170131165261,163.0
1,397,153.099084666613,348.526,2301,98.9779005845475,303.0
