"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP01842",424.133181235614,424.130401611328,424.141235351562,58.214,53.293,63.136,2357.3985,2347.5555,961,209,1
"CP01843",242.040394862881,242.036834716797,242.043807983398,57.23,49.358,67.071,10770.4880555556,10756.7112777778,2986,727,1
"CP01844",308.010348103302,308.006378173828,308.013397216797,52.309,49.358,55.262,3338.712,3329.42188235294,933,85,1
"CP01845",735.330472649196,735.325622558594,735.338989257812,60.182,57.23,63.136,634.895000000001,629.973333333334,239,238,1
"CP01846",116.071937309312,116.07056427002,116.072151184082,48.373,44.437,57.23,81731.5247692308,81564.8251432766,19635,1008,1
"CP01847",119.049032349517,119.047958374023,119.049446105957,58.214,53.293,63.136,1376.0514,1326.54730489511,572,33,1
"CP01848",135.043660438149,135.043167114258,135.045013427734,60.182,57.23,74.945,1850.23333333333,1828.87691666667,993,71,1
"CP01849",154.061181816325,154.059906005859,154.063598632812,45.421,36.564,62.151,10572.3515769231,10412.839646275,1516,56,1
"CP01850",163.03972479123,163.037887573242,163.041564941406,58.214,52.309,63.136,8248.20545454546,8159.67880748664,3031,129,1
"CP01851",168.076997684179,168.074157714844,168.081481933594,58.214,52.309,63.136,1747.08409090909,1622.03224090909,484,22,1
"CP01852",168.078386675135,168.07421875,168.081695556641,47.389,44.437,52.309,1080.432,989.5104,218,10,1
"CP01853",197.04320154494,197.039947509766,197.045669555664,60.182,55.262,63.136,666.33725,647.308416666667,274,18,1
"CP01854",200.102896826324,200.101211547852,200.105346679688,60.182,58.214,63.136,946.008400000001,942.070800000001,290,33,1
"CP01855",202.047938504053,202.046096801758,202.049942016602,57.23,48.373,63.136,32583.9094,32562.7819066667,10221,1460,1
"CP01856",222.075428828196,222.07243347168,222.079040527344,58.214,29.674,92.659,5958.971484375,5718.13081473214,2194,61,1
"CP01857",235.077487681264,235.075256347656,235.079559326172,49.358,43.453,54.277,3913.368,3886.64104615385,681,67,1
"CP01858",235.079611785088,235.07307434082,235.082015991211,58.214,54.277,63.136,1917.48133333333,1895.60641794872,414,41,1
"CP01859",243.060986409614,243.057983398438,243.062698364258,47.389,34.596,67.071,20170.9113636364,20109.4319743234,5900,725,1
"CP01860",245.112803194957,245.110366821289,245.114883422852,60.182,58.214,65.103,1209.51157142857,1183.10939408867,458,19,1
"CP01861",275.021910464687,275.019805908203,275.025146484375,59.198,35.58,89.707,2987.8104,2912.71178642766,1513,98,1
"CP01862",276.106909970839,276.103424072266,276.110626220703,56.247,44.437,67.071,38662.8083478261,38612.3269405908,18074,1589,1
"CP01863",279.126828968843,279.125701904297,279.128021240234,50.341,44.437,58.214,34732.8010714286,34703.3540485278,4198,378,1
"CP01864",283.041008239097,283.040466308594,283.042388916016,60.182,58.214,63.136,740.268800000001,736.331200000001,281,113,1
"CP01865",289.082145272232,289.080261230469,289.085327148438,60.182,55.262,63.136,722.4395,699.469141379311,239,17,1
"CP01866",305.033400823201,305.030914306641,305.041046142578,58.214,36.564,89.707,32916.1837222222,32795.8304575163,24078,820,1
"CP01867",307.112848967024,307.109436035156,307.114440917969,39.516,33.611,52.309,13431.0686315789,13239.4907627265,4010,103,1
"CP01868",337.041757581658,337.040405273438,337.046264648438,61.168,58.214,66.087,1093.362875,1084.06459051724,398,32,1
"CP01869",364.100086264707,364.098419189453,364.105987548828,56.247,46.405,63.136,13264.7304705882,13248.9836470588,3296,3295,1
"CP01870",368.033621822351,368.030334472656,368.039489746094,60.182,54.277,63.136,756.952333333334,723.649055555556,171,11,1
"CP01871",425.119261864408,425.1171875,425.122497558594,60.182,47.389,68.056,3833.23642857143,3826.34742857143,1951,286,1
"CP01872",574.285143520007,574.276123046875,574.293151855469,60.182,58.214,63.136,873.162800000001,866.88979586207,418,36,1
"CP01873",616.230025345189,616.223266601562,616.23681640625,60.182,55.262,63.136,785.4315,780.51025,358,73,1
"CP01874",734.32950334537,734.324890136719,734.332641601562,60.182,56.247,63.136,1584.47,1578.56514285714,582,581,1
"CP01875",167.020320249245,167.019287109375,167.021377563477,43.453,39.516,49.358,129699.8444,129506.831844444,42067,1059,1
"CP01876",188.092186230817,188.089904785156,188.093490600586,60.182,55.262,64.119,4795.57344444444,4697.16233333333,1643,49,1
"CP01877",263.022613048328,263.021575927734,263.025726318359,61.168,59.198,64.119,2077.6462,2067.01684,940,78,1
"CP01878",281.035559958973,281.033721923828,281.037780761719,61.168,57.23,64.119,1712.40857142857,1703.05921428571,497,39,1
"CP01879",285.634794266427,285.632293701172,285.636871337891,61.168,58.214,64.119,1744.9275,1740.00666666667,835,834,1
"CP01880",295.101314789513,295.098388671875,295.104095458984,57.23,52.309,61.168,2278.73166666667,2268.88833333333,803,157,1
"CP01881",295.09895794422,295.096740722656,295.101135253906,47.389,44.437,52.309,913.152,906.264,210,41,1
